feature,importance
feature4,0.931480708856416
feature21,0.02663854247262198
feature10,0.026187537655117128
feature7,0.006919408676585602
feature19,0.004029998024846383
feature2,0.0020542047705892383
feature13,0.001196754583825976
feature6,0.0009364463753098923
feature3,0.0002851841091501682
feature11,0.0001641148408852926
feature14,5.1792050112303746e-05
feature1,1.79887254822977e-05
feature18,1.310525656505979e-05
feature12,7.529055868555726e-06
feature16,6.7803228450604865e-06
feature26,2.9582228101445032e-06
feature20,2.2206960474829984e-06
feature5,1.9721820819047172e-06
feature24,1.5368321654909142e-06
feature9,5.337729077333934e-07
feature30,4.007258584903249e-07
feature8,1.6178406873763935e-07
feature25,8.586977810655713e-08
feature29,3.102110628250374e-08
feature22,3.116954844519806e-09
feature17,0.0
feature15,0.0
feature27,0.0
feature23,0.0
feature28,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
